n°_evaluation,fitness,precision,f-measure,time
0,,,,0.03125
1,0.7647058823529411,0.33333333333333337,0.4642857142857143,0.015625
2,1.0,0.21333333333333337,0.35164835164835173,0.09375
3,0.8823529411764706,0.2666666666666667,0.40955631399317416,0.015625
4,0.5,0.5,0.5,0.0
5,0.8,0.23809523809523814,0.36697247706422026,0.25
6,0.6153846153846154,0.36363636363636365,0.4571428571428572,0.0
7,0.75,0.23809523809523814,0.3614457831325302,0.03125
8,1.0,0.2153846153846154,0.35443037974683544,0.09375
9,0.9,0.0,0.0,0.015625
10,0.8421052631578947,0.33333333333333337,0.4776119402985075,0.015625
11,0.7083333333333333,0.0,0.0,0.03125
12,1.0,0.21666666666666667,0.3561643835616438,0.046875
13,1.0,0.23076923076923073,0.3749999999999999,0.046875
14,1.0,0.18823529411764706,0.31683168316831684,0.109375
15,1.0,0.21999999999999997,0.360655737704918,0.03125
16,0.6428571428571428,0.3125,0.4205607476635514,0.015625
17,0.7647058823529411,0.33333333333333337,0.4642857142857143,0.015625
18,0.8125,0.2692307692307693,0.4044444444444445,0.015625
19,1.0,0.21978021978021978,0.36036036036036034,0.28125
20,0.9565217391304348,0.21666666666666667,0.3533045089561458,0.046875
21,1.0,0.23404255319148937,0.3793103448275862,0.03125
22,0.9130434782608696,0.23076923076923073,0.36842105263157887,0.03125
23,0.5,0.5,0.5,0.0
24,0.6,0.33333333333333337,0.4285714285714286,0.015625
25,0.8823529411764706,0.2666666666666667,0.40955631399317416,0.015625
26,0.9047619047619048,0.19999999999999996,0.32758620689655166,0.015625
27,0.8823529411764706,0.2666666666666667,0.40955631399317416,0.015625
28,0.6428571428571428,0.3125,0.4205607476635514,0.015625
29,1.0,0.21666666666666667,0.3561643835616438,0.09375
30,0.5,0.0,0.0,0.015625
31,0.8823529411764706,0.23076923076923073,0.36585365853658525,0.0
32,0.5,0.5,0.5,0.015625
33,0.6428571428571428,0.3125,0.4205607476635514,0.015625
34,1.0,0.21666666666666667,0.3561643835616438,0.046875
35,0.6666666666666667,0.2857142857142857,0.4,0.015625
36,0.7647058823529411,0.33333333333333337,0.4642857142857143,0.015625
37,1.0,0.21333333333333337,0.35164835164835173,0.125
38,0.8095238095238095,0.23333333333333328,0.3622526636225266,0.03125
39,0.9230769230769231,0.19999999999999996,0.3287671232876712,0.03125
40,0.8695652173913043,0.23809523809523814,0.3738317757009347,0.03125
41,1.0,0.21818181818181814,0.3582089552238805,0.078125
42,0.92,0.19999999999999996,0.32857142857142846,0.03125
43,0.8823529411764706,0.2666666666666667,0.40955631399317416,0.015625
44,0.8823529411764706,0.2666666666666667,0.40955631399317416,0.015625
45,1.0,0.21666666666666667,0.3561643835616438,0.0625
46,0.9444444444444444,0.2571428571428571,0.404227212681638,0.015625
47,0.7333333333333334,0.2857142857142857,0.4112149532710281,0.015625
48,1.0,0.21052631578947367,0.34782608695652173,0.046875
49,1.0,0.2153846153846154,0.35443037974683544,0.0625
50,0.7142857142857143,0.2727272727272727,0.3947368421052631,0.015625
