n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.2142857142857143,0.3529411764705882,0.015625
2,0.2857142857142857,0.17500000000000004,0.2170542635658915,0.140625
3,0.43999999999999995,0.17647058823529416,0.2519083969465649,4.921875
4,0.515625,0.1785714285714286,0.2652733118971062,10.875
5,0.5800000000000001,0.17500000000000004,0.2688741721854305,1.734375
6,0.62,0.1428571428571429,0.23220973782771542,0.453125
7,0.5681818181818181,0.1428571428571429,0.22831050228310507,5.078125
8,0.6739130434782609,0.140625,0.23269391159299416,1.078125
9,0.6739130434782609,0.125,0.2108843537414966,1.640625
10,0.5434782608695652,0.1785714285714286,0.2688172043010753,9.1875
11,0.5,0.0,0.0,9.40625
12,1.0,0.2142857142857143,0.3529411764705882,0.015625
13,0.5952380952380952,0.0,0.0,2.359375
14,0.5,0.17647058823529416,0.26086956521739135,0.078125
15,0.52,0.17647058823529416,0.2635135135135136,5.75
16,0.5094339622641509,0.1785714285714286,0.26444662095984334,10.40625
17,0.6666666666666667,0.1428571428571429,0.23529411764705888,1.328125
18,0.6428571428571428,0.1724137931034483,0.2719033232628399,3.671875
19,0.5952380952380952,0.17500000000000004,0.2704791344667698,10.828125
20,0.6428571428571428,0.1785714285714286,0.27950310559006214,5.6875
21,0.31034482758620685,0.17647058823529416,0.22500000000000003,0.078125
22,0.6304347826086957,0.17500000000000004,0.27395411605937925,2.296875
23,0.4385964912280702,0.1785714285714286,0.2538071065989848,24.140625
24,0.7045454545454546,0.1428571428571429,0.23754789272030657,0.375
25,0.5476190476190477,0.17500000000000004,0.26523887973640864,17.703125
26,0.27142857142857146,0.16666666666666663,0.20652173913043478,31.234375
27,0.3846153846153846,0.17647058823529416,0.24193548387096778,0.09375
28,0.7380952380952381,0.17647058823529416,0.2848392036753446,0.59375
29,1.0,0.20588235294117652,0.34146341463414637,0.015625
30,0.5,0.17647058823529416,0.26086956521739135,12.28125
31,0.5952380952380952,0.17500000000000004,0.2704791344667698,11.0
32,0.5434782608695652,0.17500000000000004,0.26475037821482605,12.765625
33,0.5869565217391304,0.1785714285714286,0.27383367139959436,6.703125
34,0.6938775510204082,0.13235294117647056,0.22230294224482378,1.40625
35,0.5208333333333333,0.17500000000000004,0.26197604790419166,16.953125
36,0.5625,0.1785714285714286,0.27108433734939763,5.65625
37,0.515625,0.1785714285714286,0.2652733118971062,12.109375
38,0.4915254237288136,0.1785714285714286,0.26196928635953026,3.46875
39,0.5081967213114754,0.1428571428571429,0.223021582733813,0.890625
40,0.5625,0.17500000000000004,0.26694915254237295,8.296875
41,0.47916666666666663,0.17500000000000004,0.2563694267515924,27.625
42,0.49090909090909096,0.1785714285714286,0.26188166828322024,31.0625
43,0.6590909090909092,0.1785714285714286,0.28100775193798455,1.796875
44,0.7380952380952381,0.1785714285714286,0.28756957328385907,0.515625
45,0.7142857142857143,0.17500000000000004,0.2811244979919679,0.078125
46,0.4285714285714286,0.1785714285714286,0.2521008403361345,0.0625
47,0.29032258064516125,0.17647058823529416,0.21951219512195125,0.09375
48,0.3846153846153846,0.1785714285714286,0.24390243902439027,0.125
49,0.40909090909090906,0.17647058823529416,0.24657534246575347,0.0625
50,0.7254901960784313,0.1785714285714286,0.28659953524399695,0.4375
51,0.6041666666666667,0.1785714285714286,0.27566539923954375,3.234375
52,0.5625,0.1785714285714286,0.27108433734939763,5.5625
53,0.5238095238095238,0.17647058823529416,0.264,21.609375
54,0.5952380952380952,0.17500000000000004,0.2704791344667698,10.703125
55,0.6428571428571428,0.17500000000000004,0.2751091703056769,4.8125
56,0.6190476190476191,0.17500000000000004,0.27286356821589214,6.953125
57,0.5714285714285714,0.1724137931034483,0.26490066225165565,12.640625
58,0.18518518518518523,0.1785714285714286,0.18181818181818185,0.25
59,0.6086956521739131,0.1428571428571429,0.23140495867768604,1.75
60,0.4528301886792453,0.17391304347826086,0.2513089005235602,28.796875
61,0.6136363636363636,0.13636363636363635,0.2231404958677686,2.375
62,0.49056603773584906,0.17142857142857137,0.25407166123778496,18.171875
63,0.4285714285714286,0.17647058823529416,0.25000000000000006,0.09375
64,0.5303030303030303,0.1785714285714286,0.267175572519084,10.609375
65,0.484375,0.0,0.0,22.796875
66,0.6428571428571428,0.17500000000000004,0.2751091703056769,4.625
67,0.5952380952380952,0.17500000000000004,0.2704791344667698,10.640625
68,0.5952380952380952,0.1785714285714286,0.27472527472527475,10.609375
69,0.5238095238095238,0.17142857142857137,0.25831702544031304,23.625
70,0.6666666666666667,0.19047619047619047,0.29629629629629634,0.015625
71,0.2571428571428571,0.17500000000000004,0.20826446280991737,0.109375
72,0.28125,0.1724137931034483,0.2137767220902613,0.140625
73,0.6,0.125,0.20689655172413793,0.109375
74,0.5384615384615384,0.1428571428571429,0.22580645161290328,3.3125
75,0.26315789473684215,0.17500000000000004,0.21021021021021025,0.140625
76,0.6086956521739131,0.1724137931034483,0.2687140115163148,2.90625
77,0.32432432432432434,0.17500000000000004,0.22733423545331533,0.125
78,0.6041666666666667,0.17647058823529416,0.27315541601255894,1.671875
79,0.5952380952380952,0.17500000000000004,0.2704791344667698,7.875
80,0.6904761904761905,0.17500000000000004,0.27922971114167816,1.390625
81,0.5471698113207547,0.12857142857142856,0.20821699242122055,5.328125
82,0.6428571428571428,0.17500000000000004,0.2751091703056769,6.40625
83,0.5476190476190477,0.17500000000000004,0.26523887973640864,20.40625
84,0.6304347826086957,0.1785714285714286,0.2783109404990403,1.265625
85,0.6428571428571428,0.1785714285714286,0.27950310559006214,3.4375
86,0.5952380952380952,0.1724137931034483,0.26737967914438504,11.40625
87,0.5777777777777777,0.1428571428571429,0.2290748898678415,4.03125
88,0.5800000000000001,0.17500000000000004,0.2688741721854305,2.09375
89,0.5208333333333333,0.1785714285714286,0.2659574468085107,11.03125
90,0.5952380952380952,0.18918918918918914,0.28712059064807216,9.5
91,0.5,0.17500000000000004,0.2592592592592593,16.375
92,1.0,0.20588235294117652,0.34146341463414637,0.015625
93,0.8888888888888888,0.17391304347826086,0.29090909090909095,0.03125
94,0.8888888888888888,0.17391304347826086,0.29090909090909095,0.015625
95,0.9230769230769231,0.26190476190476186,0.40803709428129825,0.03125
96,0.8888888888888888,0.17647058823529416,0.29447852760736204,0.0625
97,0.8181818181818181,0.17500000000000004,0.288329519450801,0.03125
98,0.5434782608695652,0.1785714285714286,0.2688172043010753,12.21875
99,0.35526315789473684,0.16666666666666663,0.22689075630252095,1.65625
100,0.41666666666666663,0.17500000000000004,0.24647887323943668,0.109375
101,0.2941176470588235,0.17500000000000004,0.219435736677116,0.125
102,0.4666666666666667,0.1578947368421053,0.23595505617977533,0.078125
103,0.6666666666666667,0.17142857142857137,0.27272727272727265,2.40625
104,0.5681818181818181,0.1428571428571429,0.22831050228310507,0.921875
105,0.5952380952380952,0.12903225806451613,0.21208907741251323,6.671875
106,0.36363636363636365,0.0,0.0,0.015625
107,0.4426229508196722,0.17500000000000004,0.2508294625082947,3.8125
108,0.33333333333333337,0.17647058823529416,0.2307692307692308,0.09375
109,0.6428571428571428,0.14516129032258063,0.23684210526315788,1.328125
110,0.4444444444444444,0.17391304347826086,0.25,1.296875
111,0.3787878787878788,0.16666666666666663,0.23148148148148145,3.40625
112,0.49090909090909096,0.17500000000000004,0.2580204778156997,1.140625
113,0.5625,0.17500000000000004,0.26694915254237295,1.75
114,0.4339622641509434,0.16666666666666663,0.24083769633507848,13.25
